market,title,url,region,country,grape,abv,vintage,winery,sweetness,acidity,body,rating,reference_price,image_url,image_path
全聯,1895 Rosso,https://littlewine.com.tw/wine/Detail.aspx?Title=4.5+%e9%a1%86%e6%98%9f%e6%8e%a8%e8%96%a6%e7%9a%84%e7%be%a9%e5%a4%a7%e5%88%a9+Toscana+%e7%b4%85%e9%85%92&Wine=1895+Rosso,Toscana,義大利,Sangiovese 混合Cabernet and Merlot(100%),14%,2020,Verga La Storia,1/5,4/5,4/5,4.5/5,$499,https://littlewine.com.tw/Upload/20241005/1895.png,images/561c6b888346.png
全聯,Bavardages Merlot,https://littlewine.com.tw/wine/Detail.aspx?Title=%e6%9e%9c%e5%91%b3%e7%94%9c%e7%be%8e%e7%9a%84%e5%8d%97%e6%b3%95%e9%a4%90%e9%85%92&Wine=Bavardages+Merlot,PAYS D'OC,法國,Merlot(100%),14%,2023年,LGI,1/5,4/5,4/5,3.5/5,$389,https://littlewine.com.tw/Upload/20240821/bavardages%20merlot.png,images/d1d7cb2c7c62.png
全聯,D.V Catena Historico Malbec,https://littlewine.com.tw/wine/Detail.aspx?Title=%e6%9e%9c%e5%91%b3%e8%b1%90%e6%b2%9b%e3%80%81%e5%8f%a3%e6%84%9f%e6%b8%85%e6%96%b0%e7%9a%84%e9%98%bf%e6%a0%b9%e5%bb%b7+CATENA+Malbec&Wine=D.V+Catena+Historico+Malbec,Mendoza,阿根廷,Malbec(100%),13.5%,2022年,D.V Catena,1/5,4/5,4/5,4/5,$999,https://littlewine.com.tw/Upload/20250317/catena.png,images/29b6c529057e.png
大全聯,1895 Primitivo di Manduria DOC,https://littlewine.com.tw/wine/Detail.aspx?Title=%e7%be%a9%e5%a4%a7%e5%88%a9+1895+Primitivo+di+Manduria+%e8%a9%95%e6%b8%ac%ef%bd%9c%e5%8d%97%e7%be%a9%e6%99%ae%e5%88%a9%e4%ba%9e%e7%9a%84%e6%9e%9c%e9%a6%99%e8%88%87%e6%9f%94%e9%a0%86%e5%8f%a3%e6%84%9f&Wine=1895+Primitivo+di+Manduria+DOC,"Manduria, Puglia",義大利,Primitivo(100%),14.5%,2023年,Casa Vinicola Natale Verga,2/5,3/5,5/5,3.5/5,$649,https://littlewine.com.tw/Upload/20251102/1895%20primitivo%20di%20manduria%20doc.png,images/466f1e07b663.png
大全聯,1895 Verga La Storia Barolo,https://littlewine.com.tw/wine/Detail.aspx?Title=%e8%a6%aa%e6%b0%91%e5%84%aa%e9%9b%85%e7%9a%84+1895+Verga+La+Storia+Barolo&Wine=1895+Verga+La+Storia+Barolo,Barolo DOCG，Piemonte,義大利,Nebbiolo(100%),14%,2021,Casa Vinicola Natale Verga,1/5,5/5,4/5,3.5/5,$1099,https://littlewine.com.tw/Upload/20251107/1895%20verga%20la%20storia%20barolo.png,images/0f10de85c16c.png
大全聯,Canaja Gold Rosso Veronese,https://littlewine.com.tw/wine/Detail.aspx?Title=%e8%bc%95%e6%9f%94%e5%9c%93%e6%bb%91%e7%9a%84%e7%be%a9%e5%a4%a7%e5%88%a9%e6%b7%b7%e9%87%80&Wine=Canaja+Gold+Rosso+Veronese,Veneto,義大利,混釀(100%),14%,2021,Villa Annaberta,1/5,3/5,5/5,3.5/5,$399,https://littlewine.com.tw/Upload/20260411/canaia%20gold%20rosso%20verona%202018.png,images/0aaf7db7a659.png
大潤發,1895 Primitivo di Manduria DOC,https://littlewine.com.tw/wine/Detail.aspx?Title=%e7%be%a9%e5%a4%a7%e5%88%a9+1895+Primitivo+di+Manduria+%e8%a9%95%e6%b8%ac%ef%bd%9c%e5%8d%97%e7%be%a9%e6%99%ae%e5%88%a9%e4%ba%9e%e7%9a%84%e6%9e%9c%e9%a6%99%e8%88%87%e6%9f%94%e9%a0%86%e5%8f%a3%e6%84%9f&Wine=1895+Primitivo+di+Manduria+DOC,"Manduria, Puglia",義大利,Primitivo(100%),14.5%,2023年,Casa Vinicola Natale Verga,2/5,3/5,5/5,3.5/5,$649,https://littlewine.com.tw/Upload/20251102/1895%20primitivo%20di%20manduria%20doc.png,images/466f1e07b663.png
大潤發,Chateau Tour de Ségur,https://littlewine.com.tw/wine/Detail.aspx?Title=%e9%85%b8%e5%ba%a6%e6%98%8e%e9%a1%af%e9%9c%80%e8%a6%81%e9%95%b7%e6%99%82%e9%96%93%e9%86%92%e9%85%92%e7%9a%84%e6%b3%a2%e7%88%be%e5%a4%9a%e8%81%96%e6%84%9b%e7%be%8e%e6%bf%83%e7%b4%85%e9%85%92&Wine=Chateau+Tour+de+S%c3%a9gur,Lussac Saint-Emilion,法國,"Merlot(65%) ,Cabernet Franc (30%) ,Cabernet Sauvignon (5%)",14%,2010,Chateau Tour de Ségur,1/5,5/5,4/5,3.5/5,$599,https://littlewine.com.tw/Upload/20250615/cha%CC%82teau%20la%20tour%20de%20se%CC%81gur%20.png,images/aabb3de9a3e1.png
大潤發,Château Liversan 2019,https://littlewine.com.tw/wine/Detail.aspx?Title=%e8%b6%85%e5%80%bc%e7%9a%84%e6%b3%a2%e7%88%be%e5%a4%9a%e4%b8%ad%e7%b4%9a%e9%85%92%e8%8e%8a+Ch%c3%a2teau+Liversan+2019+&Wine=Ch%c3%a2teau+Liversan+2019+,Haut‑Médoc Cru Bourgeois,法國,"Merlot(55%) ,Cabernet Sauvignon (45%)",13.5%,2019,Château Liversan,1/5,4/5,5/5,4/5,$349,https://littlewine.com.tw/Upload/20250701/cha%CC%82teau%20liversan%202019%20.png,images/b33eb5e7c0b0.png
好市多,Bourgogne Pinot Noir 2024,https://littlewine.com.tw/wine/Detail.aspx?Title=%e4%b8%8d%e5%83%8f%e5%8d%b0%e8%b1%a1%e4%b8%ad%e7%9a%84%e6%b3%95%e5%9c%8b%e5%8b%83%e6%a0%b9%e5%9c%b0&Wine=Bourgogne+Pinot+Noir+2024,勃根地 Bourgogne AOC,法國,Pinot Noir(100%),13%,2024,Château de Couches,1/5,3/5,5/5,3/5,$439,https://littlewine.com.tw/Upload/20260303/cha%CC%82teau%20de%20couches.png,images/8b3f3745b529.png
